,lepton_pT,lepton_eta,lepton_phi,missing_energy_magnitude,missing_energy_phi,jet_1_pt,jet_1_eta,jet_1_phi,jet_1_btag,jet_2_pt,jet_2_eta,jet_2_phi,jet_2_btag,jet_3_pt,jet_3_eta,jet_3_phi,jet_3_btag,jet_4_pt,jet_4_eta,jet_4_phi,jet_4_btag,m_jj,m_jjj,m_lv,m_jlv,m_bb,m_wbb,m_wwbb
lepton_pT,1.0,-0.0019858641288392847,-0.005268923154386047,-0.1402114754044353,-0.0020674973352527957,0.1675069586745337,-0.0026131067526631887,0.0024756632260538734,-0.004698272616390034,0.0030868668674285437,0.0004915278105917294,0.0019046025230479817,-0.001890591259354023,-0.018421126043449632,-0.0032415607638172665,-0.002844216154328889,0.002804220313056104,-0.016550227503226114,0.0008136854282910198,-0.0015575233380781296,0.006309301975969787,0.022762151340878306,0.012285949721654579,0.26631007299530385,0.12833398272433702,0.011956048831775902,0.09385696009596599,0.1376259291633676
lepton_eta,-0.0019858641288392847,1.0,0.0007234147483417438,0.0010054964942172132,0.0018445810797538325,-0.0021728127368135144,0.26633351445348946,-0.0001416962511965448,-0.00030158628722032826,-0.0030403471057300164,0.26386974239202177,0.004759573495527321,0.00011195611641280596,0.0018648131859252558,0.226204952193642,-0.005006765113948256,0.004677902000820986,-0.004152960470154152,0.1817248407463575,-0.0025123527387678492,-0.0011986667238422794,0.0014791640060638435,-0.0009680862343287045,0.000913782581283562,-0.0016902910021034537,-0.0007356228278516982,0.00027434619192365407,0.002643636042742757
lepton_phi,-0.005268923154386047,0.0007234147483417438,1.0,-0.0013313255038962044,-0.04282595461130053,-0.0041004342626443395,0.0040556782094011866,-0.16648618770029003,0.002982717214924218,-0.0018350219172905775,0.003716888846721982,-0.09307013598773078,0.0012738254190871178,-0.003774795243054072,0.0007703863554533246,-0.0839424934543901,-0.002978506296065435,-0.0008573902134141048,0.007657270922369249,-0.07051225532435149,0.0008808682348358277,-0.0020047060041686743,-0.00020304563488469574,-0.004267674030361834,-0.0010472487918622836,0.0003832162029100713,-0.0024996624165758577,-0.003989497324336189
missing_energy_magnitude,-0.1402114754044353,0.0010054964942172132,-0.0013313255038962044,1.0,-0.005764588845590062,0.19524812992406457,-0.0017666690779754334,0.0033260778517040053,-0.03158256730052861,0.04221158501447946,0.009251545013596662,-0.007598292259108131,-0.011900867342402987,0.025572774363283087,0.004192049457809772,-5.087464700580984e-05,0.01757929481893405,0.00010260582146722021,-0.0035407211965367198,0.006084549918391269,0.011711265118163759,0.03307410838979566,0.033532860583888366,0.17051377769565373,0.2772440607931465,0.02352256652531038,0.2101971373753761,0.2961231303292806
missing_energy_phi,-0.002067497335252796,0.0018445810797538325,-0.04282595461130053,-0.005764588845590062,1.0,-0.0032591035698739507,0.002499114021319737,-0.1589007492193431,-0.005823636918511949,-0.0013213528576592843,0.0026288950412681755,-0.06929354234472912,0.0011964665481762854,-0.0034437584866986452,0.004431642098583653,-0.053833046862517026,-8.626292385297467e-05,0.0038941732251900987,0.0017704639828137845,-0.02713942156709396,0.002361414190896158,-0.006114932781720834,-0.0008395952563654153,-0.002778691570439646,-0.008004691214582535,-0.007367809216505658,-0.006939314603455581,-0.007885374537761822
jet_1_pt,0.16750695867453372,-0.002172812736813514,-0.0041004342626443395,0.19524812992406454,-0.0032591035698739503,1.0,0.005707993068272471,-0.0013145336038386068,-0.016488357853465613,0.4852354186580458,0.0011089880799381485,0.0023162095510276723,-0.028826416986031885,0.2677465853005744,-0.0012048371847540923,0.0022054535990372755,-0.026319747400567202,0.16334254469753257,-0.0018636088738642228,0.005426546433697718,-0.005192097802852037,0.18218771647044704,0.2550222691166555,0.013978893825738291,0.2760511199137008,0.334036006668137,0.4751274621326334,0.44607124096310874
jet_1_eta,-0.002613106752663189,0.2663335144534894,0.004055678209401187,-0.0017666690779754334,0.0024991140213197374,0.005707993068272472,1.0,-0.002473884363515772,-6.8640944696303e-05,-0.0035162183833665345,0.25397245783654504,0.004391089531294399,-0.0006670039936919785,-0.0023215347061006936,0.23091180673830336,-0.006495445315095128,-0.001642073345645511,-0.002243874642945442,0.19581829576833962,-0.0011512862307917241,0.0007260653893118685,-0.0026389332912731952,-0.005980045655613052,0.0007509034660804156,-0.0030595641229255077,0.0027172921717981747,-0.003355259994763884,-0.005201504319123093
jet_1_phi,0.0024756632260538734,-0.0001416962511965448,-0.16648618770029,0.003326077851704005,-0.1589007492193431,-0.0013145336038386068,-0.0024738843635157726,0.9999999999999998,0.002244522583532173,-0.0018426639393801286,-0.004800340823889416,-0.19854365894124618,-0.0021889066334863064,-0.0004526649038887151,0.001885794365077195,-0.13164876877925494,-0.0035475143607200284,0.000251198055219145,-0.0025034989688526416,-0.10575171094364878,0.006707621030960194,0.0018381906196377566,0.0014364523597925015,-0.002537396950735997,0.0011146992560275737,0.0006759758674205008,0.003431302160071035,0.0072827964316282134
jet_1_btag,-0.004698272616390034,-0.00030158628722032826,0.002982717214924218,-0.03158256730052861,-0.005823636918511949,-0.016488357853465613,-6.864094469630299e-05,0.002244522583532173,1.0,-0.136096472393285,-0.00474032267787698,0.00026959794163679084,-0.25414255491259846,-0.14808817013235154,-0.0001661174790228392,0.0015759414292590178,-0.25889011113680815,-0.1460273194702674,-0.00553872616719708,-0.002278804082653717,-0.23596775603703665,-0.11262940157147779,-0.06673637605277168,0.0013958041037090345,0.12709821877381172,0.26974365185608407,0.11306099546063883,0.005457513763434037
jet_2_pt,0.0030868668674285437,-0.003040347105730016,-0.0018350219172905773,0.04221158501447946,-0.0013213528576592843,0.48523541865804587,-0.003516218383366535,-0.0018426639393801288,-0.136096472393285,1.0,0.002182065920989848,-0.00041197109783408964,0.14370528504182836,0.2949151480812901,0.0006600828422694365,0.002182226152066029,-0.044853457015806175,0.18495925691017787,-0.00017713638473553764,0.005420407991711887,-0.028960889004893076,0.18062283918246783,0.2608058049202915,2.4644727149506973e-06,0.21065679931496364,0.37953721006310603,0.435892524419517,0.3902649992958488
jet_2_eta,0.0004915278105917294,0.26386974239202177,0.003716888846721982,0.009251545013596662,0.002628895041268176,0.0011089880799381485,0.25397245783654504,-0.004800340823889415,-0.00474032267787698,0.002182065920989848,1.0,0.0025942881508839513,-0.0014031034470054484,-0.0019119767259481782,0.21421857261268115,0.000723534858357949,0.0006742952417053111,-6.8426128580045e-05,0.1725824191715483,0.0013270395602247727,0.002494029300189053,0.005013951228088355,0.0018872347824086019,0.003343773997904551,0.0053389344273888145,-0.0014903452776943889,0.0036731762473494224,0.005011587669959063
jet_2_phi,0.0019046025230479817,0.00475957349552732,-0.09307013598773077,-0.007598292259108131,-0.06929354234472912,0.0023162095510276723,0.0043910895312944,-0.19854365894124618,0.00026959794163679084,-0.00041197109783408964,0.0025942881508839513,1.0,-0.004163169175407045,0.0047611643872571,-0.005040041036707475,-0.0890046292980209,0.0020106409367956334,0.0032024044257662207,0.004599929021788889,-0.06941918799986109,0.0018297351871018447,-0.00437349137935061,-0.00452397824994563,0.0025889631396896306,-0.0007274553845470432,0.002668765127521158,-0.0006610915643585754,-0.001724897148224147
jet_2_btag,-0.0018905912593540227,0.00011195611641280596,0.0012738254190871178,-0.011900867342402987,0.0011964665481762854,-0.02882641698603189,-0.0006670039936919785,-0.0021889066334863064,-0.25414255491259846,0.14370528504182836,-0.0014031034470054484,-0.004163169175407045,1.0,-0.08782459298446,0.004896950888698344,0.0015379732411242557,-0.24540230901482077,-0.10341714515061255,0.0034069528502385857,0.0010137907889322363,-0.25199238856669,-0.02286297480108097,0.02420384955766446,-0.004365670869161859,0.046280059330454086,0.15066008723168028,0.06606352059845275,0.039531028848248745
jet_3_pt,-0.018421126043449632,0.0018648131859252558,-0.003774795243054072,0.025572774363283087,-0.003443758486698645,0.26774658530057444,-0.0023215347061006936,-0.0004526649038887151,-0.14808817013235154,0.2949151480812901,-0.0019119767259481784,0.0047611643872571,-0.08782459298446,1.0,0.0026349221760410104,-0.0004643523844965534,0.18969555344854153,0.2940049966253117,-0.004063794843781419,0.0047154516314940435,-0.03316825224472691,0.16055061915185054,0.24860040817799128,0.0033783517217790006,0.134184541668307,0.2617975759590732,0.29972290329166046,0.28632932163071184
jet_3_eta,-0.0032415607638172665,0.226204952193642,0.0007703863554533245,0.004192049457809772,0.004431642098583653,-0.0012048371847540925,0.23091180673830336,0.001885794365077195,-0.00016611747902283924,0.0006600828422694366,0.21421857261268112,-0.005040041036707475,0.004896950888698344,0.0026349221760410104,0.9999999999999998,-8.154406314438176e-05,0.0015760510281637688,-0.0013692217614507938,0.14825887147812145,0.0022150100360810525,-0.007614982976486243,-0.005872001231374938,-0.00510341384945899,-0.0045203309863864035,0.0012934655626367156,0.007958366986126696,0.002079677244295572,0.002259108006606773
jet_3_phi,-0.002844216154328889,-0.005006765113948256,-0.08394249345439009,-5.087464700580983e-05,-0.05383304686251703,0.002205453599037276,-0.006495445315095128,-0.1316487687792549,0.0015759414292590178,0.0021822261520660293,0.000723534858357949,-0.08900462929802092,0.0015379732411242557,-0.0004643523844965534,-8.154406314438176e-05,1.0,-0.0004485103844498591,-0.0013310586606114611,-0.005877443131354153,-0.05936419204203537,-0.004123246360641831,-0.0011380898981923197,-0.0017793956721314668,-0.0025165624763344514,-0.0004038780173354057,0.0030306665511891672,-0.0024935393553668084,-0.003012068921366134
jet_3_btag,0.002804220313056104,0.004677902000820986,-0.0029785062960654353,0.017579294818934055,-8.626292385297467e-05,-0.026319747400567202,-0.0016420733456455109,-0.003547514360720028,-0.2588901111368081,-0.044853457015806175,0.0006742952417053111,0.0020106409367956334,-0.24540230901482077,0.18969555344854153,0.0015760510281637688,-0.00044851038444985915,0.9999999999999998,-0.057497890319835994,0.003159688926237521,-0.0027255774454762725,-0.25091904196758025,0.06593940011379101,0.0693887580657053,0.010348777008153344,-0.025570968629635787,-0.05478812559213842,-0.009492860288661954,0.020427787965806837
jet_4_pt,-0.01655022750322611,-0.004152960470154152,-0.0008573902134141048,0.00010260582146722021,0.0038941732251900982,0.16334254469753257,-0.002243874642945442,0.00025119805521914496,-0.1460273194702674,0.18495925691017787,-6.8426128580045e-05,0.0032024044257662207,-0.10341714515061257,0.2940049966253117,-0.0013692217614507938,-0.0013310586606114613,-0.057497890319835994,1.0,0.001413451555771099,0.006993911218534529,0.19670965517945052,0.10565263965409032,0.1739769080295075,-0.0033938687778464613,0.06438044476406407,0.13559058825980036,0.1641096429805226,0.16771106943036984
jet_4_eta,0.0008136854282910198,0.18172484074635747,0.007657270922369249,-0.00354072119653672,0.0017704639828137845,-0.0018636088738642228,0.19581829576833965,-0.002503498968852641,-0.00553872616719708,-0.00017713638473553764,0.17258241917154826,0.004599929021788889,0.0034069528502385857,-0.004063794843781418,0.14825887147812145,-0.005877443131354153,0.0031596889262375215,0.001413451555771099,1.0,-0.0044451406557734045,-0.003044922439003922,-0.003829199647057459,-0.004302243568652257,-0.003638469186248635,-0.000616692469393413,-0.003913965114535754,-0.004635853611561957,-0.0053842827971492604
jet_4_phi,-0.0015575233380781296,-0.002512352738767849,-0.07051225532435149,0.006084549918391269,-0.02713942156709396,0.005426546433697718,-0.0011512862307917241,-0.10575171094364878,-0.002278804082653717,0.0054204079917118874,0.0013270395602247727,-0.0694191879998611,0.001013790788932236,0.0047154516314940435,0.002215010036081053,-0.059364192042035364,-0.002725577445476273,0.00699391121853453,-0.0044451406557734045,1.0,0.0035321650958196806,0.005990135424576966,0.007039405407725126,-0.002239009615037797,0.002835877776593766,0.0009011256795804754,0.009246506283088506,0.007941601434818464
jet_4_btag,0.006309301975969787,-0.0011986667238422794,0.0008808682348358277,0.01171126511816376,0.0023614141908961583,-0.005192097802852037,0.0007260653893118685,0.006707621030960194,-0.23596775603703662,-0.028960889004893076,0.002494029300189053,0.0018297351871018447,-0.25199238856669,-0.03316825224472691,-0.007614982976486244,-0.004123246360641832,-0.25091904196758025,0.19670965517945052,-0.0030449224390039216,0.0035321650958196806,0.9999999999999999,0.11442544292119455,0.04701086176487281,-0.0028109255060013143,-0.06937373141803231,-0.2033889414737698,-0.06181826925626504,0.0005567770790130284
m_jj,0.022762151340878306,0.0014791640060638437,-0.0020047060041686743,0.03307410838979566,-0.006114932781720833,0.18218771647044704,-0.0026389332912731952,0.0018381906196377566,-0.11262940157147779,0.18062283918246783,0.005013951228088355,-0.00437349137935061,-0.022862974801080974,0.16055061915185054,-0.005872001231374939,-0.00113808989819232,0.06593940011379103,0.10565263965409032,-0.003829199647057459,0.005990135424576966,0.11442544292119455,1.0,0.7930996186707989,0.02115862734028084,0.10540914488664525,0.013985465789670257,0.4570471401736109,0.4600056756501144
