,count,mean,std,min,max,missing
label,11000000,0.529920273,0.499103997,0.0,1.0,0
lepton_pT,11000000,0.991465844,0.565377701,0.274696648,12.09891415,0
lepton_eta,11000000,-8.297617882e-06,1.008826527,-2.434976101,2.434867859,0
lepton_phi,11000000,-1.327225257e-05,1.00634633,-1.742508292,1.743235946,0
missing_energy_magnitude,11000000,0.998536357,0.600018492,0.000237009,15.39682102,0
missing_energy_phi,11000000,2.61345925e-05,1.00632621,-1.743943572,1.743257046,0
jet_1_pt,11000000,0.990915232,0.474974747,0.137502432,9.940390587,0
jet_1_eta,11000000,-2.0275204e-05,1.009302999,-2.969725132,2.96967411,0
jet_1_phi,11000000,7.716199207e-06,1.005901134,-1.741237402,1.741453767,0
jet_1_btag,11000000,0.999968748,1.027807574,0.0,2.173076153,0
jet_2_pt,11000000,0.99272943,0.499993863,0.188981146,11.64708138,0
jet_2_eta,11000000,-1.026444017e-05,1.009330514,-2.913089514,2.913209915,0
jet_2_phi,11000000,-2.076887349e-05,1.006154436,-1.742371678,1.743174791,0
jet_2_btag,11000000,1.000008018,1.049398047,0.0,2.214872122,0
jet_3_pt,11000000,0.992259051,0.487662348,0.263607621,14.70898914,0
jet_3_eta,11000000,1.45956135e-05,1.008746755,-2.729662895,2.730008841,0
jet_3_phi,11000000,3.67863199e-06,1.006304991,-1.742068768,1.742883921,0
jet_3_btag,11000000,1.000011419,1.193675576,0.0,2.548224449,0
jet_4_pt,11000000,0.986108662,0.505777687,0.365354151,12.88256741,0
jet_4_eta,11000000,-5.756954066e-06,1.007694272,-2.497264862,2.498008966,0
jet_4_phi,11000000,1.74490336e-05,1.006365633,-1.742690802,1.743372321,0
jet_4_btag,11000000,1.000000156,1.400209386,0.0,3.101961374,0
m_jj,11000000,1.034290304,0.674635368,0.075070456,40.19236755,0
m_jjj,11000000,1.024804835,0.380807412,0.198675722,20.37278175,0
m_lv,11000000,1.050553868,0.164576251,0.083048657,7.992739201,0
m_jlv,11000000,1.009741841,0.397445317,0.132006168,14.26243877,0
m_bb,11000000,0.972959617,0.525406273,0.047862146,17.76285172,0
m_wbb,11000000,1.033035574,0.365255621,0.295112193,11.49652195,0
m_wwbb,11000000,0.959811988,0.313337791,0.330721378,8.374498367,0
