feature,importance,type,importance_norm,cumulative_importance,above_uniform_threshold
m_bb,0.21341495056541787,HL,0.2134149505654179,0.2134149505654179,True
m_wbb,0.10088679021231767,HL,0.10088679021231768,0.3143017407777356,True
m_jjj,0.07381081747375315,HL,0.07381081747375316,0.38811255825148877,True
jet_1_pt,0.0660683825820222,LL,0.06606838258202222,0.454180940833511,True
m_jlv,0.0626021841805484,HL,0.06260218418054841,0.5167831250140594,True
missing_energy_magnitude,0.051057362290811724,LL,0.05105736229081173,0.5678404873048711,True
lepton_pT,0.04924192178143441,LL,0.04924192178143442,0.6170824090863055,True
jet_2_pt,0.04085561264918322,LL,0.04085561264918323,0.6579380217354888,True
m_jj,0.038065250178049646,HL,0.03806525017804965,0.6960032719135384,True
jet_3_pt,0.028413862918644096,LL,0.0284138629186441,0.7244171348321825,False
jet_4_pt,0.02515154033528945,LL,0.025151540335289452,0.7495686751674719,False
m_lv,0.023868878899380667,HL,0.02386887889938067,0.7734375540668527,False
jet_1_eta,0.020455686682467937,LL,0.02045568668246794,0.7938932407493206,False
lepton_eta,0.019480038964480296,LL,0.0194800389644803,0.8133732797138008,False
jet_2_eta,0.01925838997327823,LL,0.019258389973278233,0.832631669687079,False
jet_4_eta,0.01872424194535584,LL,0.018724241945355845,0.8513559116324348,False
jet_3_eta,0.018437588459592175,LL,0.018437588459592178,0.869793500092027,False
jet_3_phi,0.01725656571094181,LL,0.017256565710941814,0.8870500658029689,False
missing_energy_phi,0.0171405211201428,LL,0.017140521120142804,0.9041905869231117,False
lepton_phi,0.01711437080290618,LL,0.017114370802906183,0.921304957726018,False
jet_2_phi,0.01701336479080842,LL,0.017013364790808422,0.9383183225168263,False
jet_1_phi,0.01685487371731927,LL,0.016854873717319273,0.9551731962341456,False
jet_4_phi,0.016771089265666915,LL,0.01677108926566692,0.9719442854998126,False
jet_1_btag,0.013060577794525923,LL,0.013060577794525925,0.9850048632943386,False
jet_2_btag,0.005784299102450966,LL,0.005784299102450967,0.9907891623967895,False
jet_3_btag,0.004723846214359126,LL,0.004723846214359127,0.9955130086111487,False
jet_4_btag,0.004486991388851696,LL,0.004486991388851697,1.0000000000000004,False
