,variance
lepton_pT,0.319651945
lepton_eta,1.017730962
lepton_phi,1.012732935
missing_energy_magnitude,0.36002219
missing_energy_phi,1.01269244
jet_1_pt,0.225601011
jet_1_eta,1.018692543
jet_1_phi,1.01183709
jet_1_btag,1.05638841
jet_2_pt,0.249993863
jet_2_eta,1.018748086
jet_2_phi,1.012346749
jet_2_btag,1.10123626
jet_3_pt,0.237814566
jet_3_eta,1.017570016
jet_3_phi,1.012649734
jet_3_btag,1.424861381
jet_4_pt,0.255811068
jet_4_eta,1.015447745
jet_4_phi,1.012771788
jet_4_btag,1.960586325
m_jj,0.45513288
m_jjj,0.145014285
m_lv,0.027085342
m_jlv,0.15796278
m_bb,0.276051752
m_wbb,0.133411669
m_wwbb,0.098180571
