,mean,std,min,max
label,0.529655753,0.499119848,0.0,1.0
lepton_pT,0.991007197,0.564924928,0.274696648,9.690880775
lepton_eta,-0.000127292,1.008790034,-2.434976101,2.434867859
lepton_phi,6.327758157e-05,1.00617113,-1.742508292,1.743235946
missing_energy_magnitude,0.998366369,0.599719949,0.000625987,15.39682102
missing_energy_phi,-0.000764628,1.006218747,-1.743943572,1.743257046
jet_1_pt,0.990671309,0.474396312,0.137868866,8.848615646
jet_1_eta,-0.000896379,1.00937401,-2.969725132,2.96967411
jet_1_phi,0.000116497,1.006143498,-1.741237402,1.741453767
jet_1_btag,1.001064252,1.027848926,0.0,2.173076153
jet_2_pt,0.992679896,0.500489281,0.188981146,11.64708138
jet_2_eta,0.000708234,1.009633585,-2.913089514,2.913209915
jet_2_phi,0.00030529,1.006234804,-1.742371678,1.743174791
jet_2_btag,0.999376569,1.04932947,0.0,2.214872122
jet_3_pt,0.992082357,0.487143621,0.263607621,8.864837646
jet_3_eta,0.000601688,1.007932387,-2.729662895,2.730008841
jet_3_phi,-0.000225755,1.006187008,-1.742068768,1.742883921
jet_3_btag,1.000371565,1.193857938,0.0,2.548224449
jet_4_pt,0.985761199,0.505638533,0.365354151,11.62123108
jet_4_eta,-0.000270755,1.007697527,-2.497264862,2.498008966
jet_4_phi,-0.000192865,1.006454238,-1.742690802,1.743372321
jet_4_btag,0.998870594,1.399722331,0.0,3.101961374
m_jj,1.034573909,0.674441854,0.091175906,31.07619095
m_jjj,1.024730518,0.380403018,0.198675722,15.63785934
m_lv,1.050387164,0.163880856,0.083048657,7.992739201
m_jlv,1.009838798,0.397640199,0.157472581,11.40637589
m_bb,0.973086174,0.52520923,0.04812501,13.73569107
m_wbb,1.033191064,0.365341939,0.303349704,8.779914856
m_wwbb,0.959867885,0.313412691,0.330721378,6.96690321
