max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda,f1,train_time_s
12,0.05,800,0.7,0.9,5,0.0,1.0,0.7618,112.7
10,0.2,800,0.7,0.8,3,0.1,2.0,0.7581,62.5
12,0.2,800,0.8,0.7,3,0.5,0.5,0.7581,105.4
10,0.1,500,0.7,0.7,5,0.0,0.5,0.7553,41.2
12,0.2,200,0.6,0.6,3,0.1,0.5,0.752,31.2
6,0.2,800,0.8,0.7,5,0.0,1.0,0.7494,30.0
6,0.1,500,0.7,0.8,1,0.1,1.0,0.739,19.9
10,0.01,500,0.8,0.8,1,0.5,0.5,0.7308,49.2
10,0.01,500,0.8,0.7,1,0.0,1.0,0.7301,50.6
4,0.1,800,0.8,0.6,3,0.3,1.0,0.7293,22.8
8,0.01,300,0.6,0.9,5,0.5,2.0,0.7152,20.2
4,0.01,500,0.7,0.7,3,0.0,0.5,0.6966,16.4
